Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Serviços Públicos;Mobilidade urbana;Municipal;Palmas;Plano de Mobilidade Urbana 2023;Documento;Prefeitura de Palmas
Dado;Serviços Públicos;Mobilidade urbana;Municipal;Palmas;Polos geradores de tráfego;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Transporte público;Municipal;Palmas;Itinerários do transporte coletivo;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Moradia;Municipal;Palmas;Sistema de Informações sobre Necessidades Habitacionais no Paraná (SISPEHIS) 2024;Fonte;COHAPAR
Dado;Serviços Públicos;Plano Estadual de Habitaçao de Interesse Social 2019;Municipal;Palmas;Pesquisa de Necessidades Habitacionais no Paraná 2019 - Plano de Habitação de Interesse Social do Paraná (PEHIS) 2019;Documento;COHAPAR
Dado;Serviços Públicos;Plano Estadual de Habitaçao de Interesse Social 2019;Municipal;Palmas;Mapa do PEHIS 2019;Mapa;COHAPAR
Dado;Serviços Públicos;Plano Estadual de Habitaçao de Interesse Social 2019;Municipal;Palmas;Mapa do PEHIS 2015;Mapa;COHAPAR
Dado;Serviços Públicos;Moradia informal;Municipal;Palmas;Assentamentos precários;Mapa;Paraná Interativo / SISPEHIS COHAPAR
Dado;Serviços Públicos;Moradia informal;Municipal;Palmas;Espaços informais de moradia em área de risco no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Iluminaçao Pública;Municipal;Palmas;Localização e tipologias da iluminação pública no perímetro urbano;Mapa;Paraná Interativo / Copel
Dado;Serviços Públicos;Iluminaçao Pública;Municipal;Palmas;Presença de iluminação pública nas vias no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Infraestrutura viária;Municipal;Palmas;Tipo de pavimentação das vias;Mapa;Paraná Interativo
Dado;Serviços Públicos;Infraestrutura viária;Municipal;Palmas;Pavimentação e infraestrutura viária municipal;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Infraestrutura viária;Municipal;Palmas;Pavimentação e infraestrutura viária no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Infraestrutura viária;Municipal;Palmas;Hierarquia viária no perímetro urbano ;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Acessos Viários;Municipal;Palmas;Mapa de Estradas do Paraná com sua respectiva classificação e jurisdição;Shapefile;DER 2021
Dado;Serviços Públicos;Lei do Sistema Viário;Municipal;Palmas;"Define a estruturação, classificação
e a hierarquização do Sistema Viário Básico de Palmas";Documento;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Características urbanísticas;Municipal;Palmas;Características utilizadas pelo IBGE: iluminação pública, pavimentação, arborização, bueiro/boca de lobo, lixo acumulado, esgoto a céu aberto, meio-fio ou guia, bem como calçada e rampa para cadeirante;Mapa;Paraná Interativo / CENSO IBGE 2010
